No.,Nama Jurnal,Singkatan Nama Jurnal,Link Jurnal,ISSN,E ISSN,Bidang,Bidang Ilmu,Sinta,Masa aktif Sinta,Scopus,Masa aktif Scopus,Penerbit,Kota Terbit
154,TONGKONAN: Jurnal Pengabdian Masyarakat,TONGKONAN,https://journals.ukitoraja.ac.id/index.php/tongkonan/index,2961-7081,2961-7081,Pengabdian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Kristen Indonesia Toraja,"Semarang, Jawa Tengah"
155,Kiwari,KIWARI,https://journal.untar.ac.id/index.php/Kiwari,-,2827-8763,Penelitian,Sosial Budaya,S5,2022 - 2027,blm_scopus,-,Universitas Tarumanagara,"Tangerang, Banten"
156,Real Coster,REAL COSTER,https://ojs.sttrealbatam.ac.id/index.php/coster,-,2807-6044,Penelitian,Ekonomi,S5,2021 - 2026,blm_scopus,-,Sekolah Tinggi Teologi Real Batam,"Purwokerto, Jawa Tengah"
157,Syarah: Jurnal Hukum Islam dan Ekonomi,SYARAH,https://journal.iainlhokseumawe.ac.id/index.php/syarah,2302-9978,2715-2642,Penelitian,Hukum,S5,2021 - 2025,blm_scopus,-,Institut Agama Islam Negeri Lhokseumawe,"Solo, Jawa Tengah"
158,Nommensen Journal of Medicine,NJM,https://jurnal.uhn.ac.id/index.php/medicine/index,2460-1616,2686-2565,Penelitian,Kedokteran,S5,2019 - 2025,blm_scopus,-,Universitas Hkbp Nommensen,"Probolinggo, Jawa Timur"
159,Jurnal Buana Farma,JBF,http://journal.ubpkarawang.ac.id/mahasiswa/index.php/buanafarma,-,2797-2100,Penelitian,Farmasi,S5,2021 - 2026,blm_scopus,-,Universitas Buana Perjuangan Karawang,"Kupang, Nusa Tenggara Timur"
160,Jurnal Kesehatan Wira Buana,JKW,http://jurnal.akbid-wirabuana.ac.id/index.php/jukes,2541-5387,2747-2795,Penelitian,Kesehatan,S5,2022 - 2026,blm_scopus,-,Akademi Kebidanan Wira Buana,"Magelang, Jawa Tengah"
161,Pharmaceutical Reports,PR,https://jurnal.umi.ac.id/index.php/PharmRep/index,2828-6030,2828-8734,Penelitian,Farmasi,S5,2022 - 2026,blm_scopus,-,Universitas Muslim Indonesia,"Yogyakarta, DI Yogyakarta"
162,Jurnal VNUS (Vocational Nursing Science),VNUS,https://ojs.stikesmucis.ac.id/index.php/jvnus,-,2656-8799,Penelitian,Keperawatan,S5,2022 - 2026,blm_scopus,-,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Ciamis,"Bogor, Jawa Barat"
163,Jurnal Historica,HISTORICA,https://historica.jurnal.unej.ac.id/index.php/JHIS/article/view/47660/15456,2252-4673,2964-9269,Penelitian,Sejarah,S5,2008 - 2026,blm_scopus,-,Universitas Jember,"Magelang, Jawa Tengah"
164,Jurnal Studi Jurnalistik,JSJ,http://journal.uinjkt.ac.id/index.php/jsj,2715-5196,2715-7857,Penelitian,Komunikasi,S5,2019 - 2025,blm_scopus,-,Universitas Islam Negeri Syarif Hidayatullah Jakarta,"Kediri, Jawa Timur"
165,MUTIARA PENDIDIKAN,MUPEN,http://e-journal.sari-mutiara.ac.id/index.php/JMT,2541-0253,2541-0253,Penelitian,Pendidikan,S5,2018 - 2026,blm_scopus,-,Universitas Sari Mutiara Indonesia,"Jambi, Jambi"
166,Journal for Quality in Public Health,JQPH,https://jqph.org/index.php/JQPH,2614-4913,2614-4921,Penelitian,Kesehatan,S5,2017 - 2027,blm_scopus,-,Master Of Public Health Program Institut Ilmu Kesehatan Strada Indonesia Journal For Quality In Public Health Vol. 8 No. 2 (2025): May 116-122,"Manado, Sulawesi Utara"
167,NGARSA: Journal of Dedication Based on Local Wisdom,NGARSA,https://ngarsa.uinkhas.ac.id/index.php/ngarsa,2775-9776,2775-782X,Penelitian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Islam Negeri Kiai Haji Achmad Siddiq Jember,"Malang, Jawa Timur"
168,Jurnal Teknik Ilmu dan Aplikasi,JTIA,http://jurnal.polinema.ac.id/index.php/jtia,2460-5549,2797-0272,Penelitian,Teknik,S5,2023 - 2027,blm_scopus,-,Politeknik Negeri Malang,"Pekanbaru, Riau"
169,JRAM (Jurnal Riset Akuntansi Multiparadigma),JRAM,https://jurnal.uisu.ac.id/index.php/JRAM,2339-0492,2599-1469,Penelitian,Akuntansi,S5,2019 - 2028,blm_scopus,-,Universitas Islam Sumatera Utara,"Denpasar, Bali"
170,JURNAL TEKNIK INFORMATIKA DAN KOMPUTER,JTIK,https://journal.uhamka.ac.id/index.php/jutikom,-,2829-0208,Penelitian,Informatika Komputer,S5,2022 - 2027,blm_scopus,-,Universitas Muhammadiyah Prof. Dr. Hamka,"Blitar, Jawa Timur"
171,Arkus,ARKUS,https://hmpublisher.com/index.php/arkus,2089-1393,2808-5035,Penelitian,Arsitektur,S5,2009 - 2089,blm_scopus,-,Factors For Selection Of Medical Records And Health Information Study Programs For New Students At Universitas Esa Unggul,"Malang, Jawa Timur"
172,Jurnal Abdimas Multidisiplin,JAM,https://penerbitgoodwood.com/index.php/jamu,-,2964-495X,Penelitian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Seminar dan Pelatihan Âbelajar Jarak Jauh dengan E-learning Bagi Mahasiswa STIE Krakatauâ Penerbit Goodwood Jurnal Abdimas Multidisiplin,"Sidoarjo, Jawa Timur"
173,Afiasi : Jurnal Kesehatan Masyarakat,AFIASI,https://afiasi.unwir.ac.id/index.php/afiasi,2442-5885,2622-3392,Penelitian,Kesehatan,S5,2018 - 2027,blm_scopus,-,Universitas Wiralodra,"Sidoarjo, Jawa Timur"
174,Prima Wiyata Health,PWH,https://e-journal.shj.ac.id/ojs/index.php/PWH,2716-1706,2746-0940,Penelitian,Kesehatan,S5,2022 - 2027,blm_scopus,-,Sekolah Tinggi Ilmu Kesehatan Husada Jombang,"Denpasar, Bali"
175,ALGORITMA : JURNAL ILMU KOMPUTER DAN INFORMATIKA,ALGORITMA,https://jurnal.uinsu.ac.id/index.php/algoritma/index,-,2598-6341,Penelitian,Informatika Komputer,S5,2022 - 2027,blm_scopus,-,Prodi Ilmu Komputer Fakultas Sains dan Teknologi Universitas Islam Negeri Sumatera Utara,"Surabaya, Jawa Timur"
176,An Idea Health Journal,AIHJ,http://ihj.ideajournal.id/index.php/IHJ,-,2797-0604,Penelitian,Kesehatan,S5,2021 - 2025,blm_scopus,-,-,"Depok, Jawa Barat"
177,Journal DaFIna - Journal Deutsch als Fremdsprache in Indonesien,DAFINA,http://journal2.um.ac.id/index.php/dafina,-,2548-1681,Penelitian,Semua Ilmu,S5,2017 - 2025,blm_scopus,-,Universitas Negeri Malang,"Medan, Sumatera Utara"
178,CITRA JUSTICIA : Majalah Hukum dan Dinamika Kemasyarakatan,CITRA JUSTICIA,http://jurnal.una.ac.id/index.php/cj,1411-0717,2686-5750,Penelitian,Hukum,S5,2016 - 2029,blm_scopus,-,Universitas Asahan,"Cirebon, Jawa Barat"
179,Scientia Psychiatrica,SCIENTIA,https://scientiapsychiatrica.com/index.php/SciPsy,-,2715-9736,Penelitian,Psikologi,S5,2020 - 2025,blm_scopus,-,-,"Medan, Sumatera Utara"
180,Jurnal Inovatif : Inovasi Teknologi Informasi dan Informatika,JINOVATIF,http://ejournal.uika-bogor.ac.id/index.php/INOVA-TIF/index,2654-5535,2654-5519,Penelitian,Informatika Komputer,S5,2019 - 2027,blm_scopus,-,Universitas Ibn Khaldun,"Tangerang, Banten"
181,JOURNAL OF Mother and Child Health Concerns,JMCHC,https://e-jurnal.iphorr.com/index.php/mchc,2798-4095,2798-4192,Penelitian,Kesehatan,S5,2021 - 2025,blm_scopus,-,-,"Samarinda, Kalimantan Timur"
182,Idarotuna : Jurnal of Administrative Science,IDAROTUNA,https://ejournal.akts.ac.id/index.php/idarotuna,2798-0111,2798-0413,Penelitian,Manajemen,S5,2020 - 2025,blm_scopus,-,Akademi Komunitas Teknologi Syarifuddin Lumajang,"Pekanbaru, Riau"
183,Riau Jurnal Teknik Informatika,RJTI,https://journal.upp.ac.id/index.php/rjti,-,2829-2529,Penelitian,Informatika Komputer,S5,2013 - 2027,blm_scopus,-,Universitas Pasir Pengaraian,"Pekalongan, Jawa Tengah"
184,Perwira Journal of Community Development (PJCD),PJCD,https://ejournal.unperba.ac.id/index.php/pjcd,-,2798-3706,Penelitian,Sosial Budaya,S5,2023 - 2027,blm_scopus,-,Universitas Perwira Purbalingga,"Tegal, Jawa Tengah"
185,Borneo Community Health Sevice Journal,BCHSJ,http://jurnal.borneo.ac.id/index.php/NEOTYCE,-,2807-6621,Penelitian,Kesehatan,S5,2021 - 2029,blm_scopus,-,Universitas Borneo Tarakan,"Yogyakarta, DI Yogyakarta"
186,Jurnal Kebidanan Harapan Ibu Pekalongan,JKHI,http://akbidhipekalongan.ac.id/e-journal/index.php/jurbidhip,2549-2772,2579-5481,Penelitian,Kebidanan,S5,2018 - 2025,blm_scopus,-,Lppm Akademi Kebidanan Harapan Ibu Pekalongan,"Samarinda, Kalimantan Timur"
187,Home Journal : Hospitality and Gastronomy Research Journal,HOME,https://jurnal.politeknikbosowa.ac.id/index.php/HOME,2685-8290,2775-3662,Penelitian,Gastronomi,S5,2022 - 2026,blm_scopus,-,Politeknik Bosowa,"Tegal, Jawa Tengah"
188,Tabularasa: Jurnal Ilmiah Magister Psikologi,TABULARASA,http://jurnalmahasiswa.uma.ac.id/index.php/tabularasa,-,2723-1178,Penelitian,Psikologi,S5,2020 - 2025,blm_scopus,-,Universitas Medan Area,"Kediri, Jawa Timur"
189,Al-Khos: Jurnal Pendidikan Agama Islam,AL-KHOS,https://al-khos.org/index.php/AlKhos,2809-2686,2809-1639,Penelitian,Islam,S5,2022 - 2026,blm_scopus,-,-,"Salatiga, Jawa Tengah"
190,TAHKIM: JURNAL HUKUM DAN SYARIAH,TAHKIM,http://jurnal.iainambon.ac.id/index.php/THK/issue/view/68,1858-0734,2654-5357,Penelitian,Hukum,S5,2018 - 2027,blm_scopus,-,IAIN Ambon,"Sidoarjo, Jawa Timur"
191,"International Journal of Health, Engineering and Technology (IJHET)",IJHET,https://afdifaljournal.com/journal/index.php/ijhet,-,2829-8683,Penelitian,Kesehatan,S5,2022 - 2027,blm_scopus,-,-,"Blitar, Jawa Timur"
192,Jurnal Ilmu Perairan (Aquatic Science),JIPAS,https://jipas.ejournal.unri.ac.id/index.php/JIPAS,1693-2862,2776-3080,Penelitian,Semua Ilmu,S5,2021 - 2025,blm_scopus,-,Universitas Riau,"Pekalongan, Jawa Tengah"
193,Jurnal Sains Boga,JSB,http://journal.unj.ac.id/unj/index.php/boga,2622-5557,2622-5557,Penelitian,Gastronomi,S5,2020 - 2025,blm_scopus,-,Universitas Negeri Jakarta,"Lampung, Lampung"
194,Journal of Fundamental Management (JFM),JFM,https://publikasi.mercubuana.ac.id/index.php/jfm,2775-4480,2775-6300,Penelitian,Manajemen,S5,2016 - 2027,blm_scopus,-,Universitas Mercu Buana,"Bekasi, Jawa Barat"
195,"Pahlawan : Jurnal Ilmu Pendidikan, Sosial dan Budaya",PAHLAWAN,https://ojs.uvayabjm.ac.id/index.php/pahlawan,2338-0853,2685-9920,Penelitian,Pendidikan,S5,2021 - 2025,blm_scopus,-,Universitas Achmad Yani Banjarmasin,"Tangerang, Banten"
196,Jurnal Riset Teknik Sipil dan Sains,JRTSS,https://jurnal.poliwangi.ac.id/index.php/Jriteks,-,2963-7791,Penelitian,Sipil,S5,2022 - 2026,blm_scopus,-,Politeknik Negeri Banyuwangi,"Denpasar, Bali"
197,"Sawala : Jurnal pengabdian Masyarakat Pembangunan Sosial, Desa dan Masyarakat",SAWALA,http://jurnal.unpad.ac.id/sawala,-,2716-4705,Penelitian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Universitas Padjadjaran,"Surabaya, Jawa Timur"
198,Jurnal Geuthee,GEUTHEE,http://journal.geutheeinstitute.com/index.php/JG,2614-6096,2614-6096,Penelitian,Semua Ilmu,S5,2020 - 2027,blm_scopus,-,Geuthee Institute,"Bandung, Jawa Barat"
199,Retina Jurnal Fotografi,RETINA,https://jurnal2.isi-dps.ac.id/index.php/retina,-,2798-4729,Penelitian,Semua Ilmu,S5,2023 - 2027,blm_scopus,-,Institut Seni Indonesia Denpasar,"Jember, Jawa Timur"
200,JIPD (Jurnal Inovasi Pendidikan Dasar),JIPD,http://unikastpaulus.ac.id/jurnal/index.php/jipd,2541-0202,2598-408X,Penelitian,Pendidikan,S5,2017 - 2024,blm_scopus,-,Universitas Katolik Indonesia Santu Paulus Ruteng,"Semarang, Jawa Tengah"
201,Journal of Synergy Landscape,JSLAND,https://e-journal.trisakti.ac.id/index.php/landscape,-,2807-1077,Penelitian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Trisakti,"Tegal, Jawa Tengah"
202,"Jurnal Bahasa, Sastra, dan Studi Amerika",JBSSA,https://jurnal.uns.ac.id/jbssa,1410-5411,2685-4503,Penelitian,Sastra Inggris,S5,2022 - 2096,blm_scopus,-,Universitas Sebelas Maret,"Tangerang, Banten"
203,Al Mashaadir : Jurnal Ilmu Syariah,AL-MASHAADIR,http://jurnal.stisummulayman.ac.id/index.php/almashaadir/index,2722-2276,2722-2268,Penelitian,Islam,S5,2019 - 2029,blm_scopus,-,Sekolah Tinggi Ilmu Syariah Ummul Ayman,"Tasikmalaya, Jawa Barat"
204,Kolaborasi Jurnal Pengabdian Masyarakat,KOLABORASI,https://journal.inspira.or.id/index.php/kolaborasi,-,2809-0438,Pengabdian,Sosial Budaya,S5,2021 - 2025,blm_scopus,-,Yayasan Inspirasi El Burhani,"Lampung, Lampung"
205,Jurnal Prajaiswara,JPRAJAI,https://prajaiswara.jambiprov.go.id/index.php/file2,2722-6352,2809-6991,Penelitian,Pemerintah,S5,2013 - 2027,blm_scopus,-,The Relationship Between Body Image And Self-confidence Among University Students In Yogyakarta,"Malang, Jawa Timur"
206,Jurnal Himasapta,HIMASAPTA,http://ppjp.ulm.ac.id/journals/index.php/jhs,2579-7816,2527-4619,Penelitian,Sosial Budaya,S5,2020 - 2052,blm_scopus,-,Universitas Lambung Mangkurat,"Yogyakarta, DI Yogyakarta"
207,JURNAL FIRNAS,FIRNAS,https://scholar.ummetro.ac.id/index.php/firnas,2722-077X,2722-2144,Penelitian,Semua Ilmu,S5,2021 - 2077,blm_scopus,-,Universitas Muhammadiyah Metro,"Blitar, Jawa Timur"
208,Jurnal Ilmiah Sistem Informasi,JISI,https://scholar.ummetro.ac.id/index.php/jisi,2829-5420,2829-4556,Penelitian,Informatika Komputer,S5,2022 - 2027,blm_scopus,-,Universitas Muhammadiyah Metro,"Pekanbaru, Riau"
209,Jurnal Arsitektur,JARS,http://ejournal.sttcirebon.ac.id/index.php/jas,2087-9296,2685-6166,Penelitian,Arsitektur,S5,2021 - 2087,blm_scopus,-,Program Studi Arsitektur Sekolah Tinggi Teknologi Cirebon,"Solo, Jawa Tengah"
210,Repertoar Journal,REPERTOAR,https://journal.unesa.ac.id/index.php/Repertoar,-,2746-1718,Penelitian,Seni,S5,2020 - 2025,blm_scopus,-,Universitas Negeri Surabaya,"Bogor, Jawa Barat"
211,Abdimas Toddopuli: Jurnal Pengabdian Pada Masyarakat,TODDOPULI,https://e-journal.my.id/atjpm,-,2716-0009,Pengabdian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Cokroaminoto Palopo,"Bandung, Jawa Barat"
212,LONTAR Jurnal Teknik Mesin Undana (LJTMU ),LJTMU,https://ejurnal.undana.ac.id/index.php/LJTMU,2356-3222,2407-3555,Penelitian,Teknik Mesin,S5,2000 - 2026,blm_scopus,-,Universitas Nusa Cendana,"Jambi, Jambi"
213,Jurnal Afiat : Kesehatan dan Anak,AFIAT,https://uia.e-journal.id/afiat,2477-6408,2656-0046,Penelitian,Kesehatan,S5,2021 - 2026,blm_scopus,-,Universitas Islam As-syafiiyah,"Probolinggo, Jawa Timur"
214,jurnal hukum agama hindu widya kerta,WIDYA KERTA,http://e-journal.stahn-gdepudja.ac.id/index.php/WK,-,-,Penelitian,Hukum,S5,2020 - 2025,blm_scopus,-,Institut Agama Hindu Negeri Gde Pudja Mataram,"Samarinda, Kalimantan Timur"
215,Global Abdimas: Jurnal Pengabdian Masyarakat,GLOBAL ABDIMAS,http://journal.intelekmadani.org/index.php/globalabdimas,-,2776-3331,Pengabdian,Sosial & Politik,S5,2021 - 2025,blm_scopus,-,Unit Publikasi Ilmiah Perkumpulan Intelektual Madani Indonesia,"Palu, Sulawesi Tengah"
216,ARSY : Jurnal Aplikasi Riset kepada Masyarakat,ARSY,http://journal.al-matani.com/index.php/arsy,2745-4428,2745-441X,Penelitian,Sosial & Politik,S5,2020 - 2029,blm_scopus,-,Lembaga Riset dan Inovasi Al-matani,"Medan, Sumatera Utara"
217,Rhizome: Jurnal Kajian Ilmu Humaniora,RHIZOME,https://journal.actual-insight.com/index.php/rhizome,2776-4850,2775-5851,Penelitian,Humaniora,S5,2023 - 2027,blm_scopus,-,Analisis Pemahaman Mahasiswa Papua Terhadap Bahasa Sumatera Selatan di Lingkungan Universitas Sriwijaya,"Samarinda, Kalimantan Timur"
218,Transparan,TRANSPARAN,https://e-jurnal.stie-yadika.ac.id/index.php/jtsyb,2085-3327,2797-6009,Penelitian,Pemerintah,S5,2022 - 2085,blm_scopus,-,Sekolah Tinggi Ilmu Ekonomi Yadika Bangil,"Purwokerto, Jawa Tengah"
219,Indonesian Journal of Behavioral Studies,IJBS,http://jurnal.radenfatah.ac.id/index.php/ijobs,2807-1956,2807-1964,Penelitian,Psikologi,S5,2021 - 2025,blm_scopus,-,Universitas Islam Negeri Raden Fatah Palembang,"Probolinggo, Jawa Timur"
220,"Transformatika: Jurnal Bahasa, Sastra, dan Pengajarannya",TRANSFORMATIKA,https://jurnal.untidar.ac.id/index.php/transformatika,2549-5941,2549-6271,Penelitian,Sastra Indonesia,S5,-,blm_scopus,-,Universitas Tidar,"Manado, Sulawesi Utara"
221,"Lathaif: Literasi Tafsir, Hadis dan Filologi",LATHAIF,https://ejournal.uinmybatusangkar.ac.id/ojs/index.php/lathaif,2963-7678,2962-6153,Penelitian,Islam,S5,2022 - 2050,blm_scopus,-,Universitas Islam Negeri Mahmud Yunus Batusangkar,"Banjarmasin, Kalimantan Selatan"
222,Jike: Jurnal Ilmu Komunikasi Efek,JIKE,http://e-journal.umc.ac.id/index.php/jike,2614-0829,2615-7950,Penelitian,Komunikasi,S5,2018 - 2027,blm_scopus,-,"Program Studi Ilmu Komunikasi, Fisip, Universitas Muhammadiyah Cirebon","Palu, Sulawesi Tengah"
223,"Review of Multidisciplinary Education, Culture and Pedagogy (ROMEO)",ROMEO,http://ojs.transpublika.com/index.php/ROMEO,-,2810-0743,Penelitian,Pendidikan,S5,2022 - 2027,blm_scopus,-,Analysis Of Politeness Maxims In Indonesian Language Use In College Environments,"Tangerang, Banten"
224,International Journal of Trends in Accounting Research,IJTAR,https://jurnal.adai.or.id/index.php/ijtar,-,2774-5643,Penelitian,Akuntansi,S5,2016 - 2026,blm_scopus,-,-,"Bandung, Jawa Barat"
225,Al-Asalmiya Nursing: Journal of Nursing Sciences,AL-ASALMIYA,https://jurnal.ikta.ac.id/keperawatan/article/view/2888/777,2338-2112,2580-0485,Penelitian,Keperawatan,S5,2019 - 2025,blm_scopus,-,Sekolah Tinggi Kesehatan Al Insyirah Pekanbaru,"Kupang, Nusa Tenggara Timur"
226,JURNAL WACANA KESEHATAN,JWK,http://jurnal.akperdharmawacana.ac.id/index.php/wacana,2088-5776,2541-6251,Penelitian,Kesehatan,S5,2021 - 2088,blm_scopus,-,Universitas Dharma Wacana,"Jambi, Jambi"
227,Islamika Granada,ISLAMIKA,http://penelitimuda.com/index.php/IG,2723-4142,2723-4150,Penelitian,Islam,S5,2020 - 2029,blm_scopus,-,Studi Identifikasi Faktor Yang Mempengaruhi Perilaku Menolong pada Relawan Yayasan Medan Generasi Impian Granada El-fath Islamika Granada,"Pekalongan, Jawa Tengah"
228,Jurnal Pengabdian Masyarakat Asia,JPMA,https://jurnal.stie.asia.ac.id/index.php/jpm,-,2745-9535,Pengabdian,Sosial Budaya,S5,2020 - 2089,blm_scopus,-,Institut Teknologi dan Bisnis Asia Malang,"Lampung, Lampung"
229,JURNAL REFORMASI ADMINISTRASI : Jurnal Ilmiah untuk Mewujudkan Masyarakat Madani,JRA,http://ojs.stiami.ac.id/index.php/reformasi,-,2622-8696,Penelitian,Pemerintah,S5,2017 - 2025,blm_scopus,-,Lppm dan Prodi Administasi Publik Institut Ilmu Sosial dan Manajemen Stiami,"Kediri, Jawa Timur"
230,Al Himam: Jurnal Ilmu Ilmu Pendidikan & Bahasa Arab,AL-HIMAM,https://waraqat.assunnah.ac.id/index.php/alhimam,2798-2343,2985-458X,Penelitian,Islam,S5,2022 - 2026,blm_scopus,-,Sekolah Tinggi Agama Islam As-sunnah,"Magelang, Jawa Tengah"
