No.,Nama Jurnal,Singkatan Nama Jurnal,Link Jurnal,ISSN,E ISSN,Bidang,Bidang Ilmu,Sinta,Masa aktif Sinta,Scopus,Masa aktif Scopus,Penerbit,Kota Terbit
231,Synergy and Society Service,SSS,http://save.triatmamulya.ac.id/index.php/save,-,2798-0812,Penelitian,Sosial & Politik,S5,2021 - 2026,blm_scopus,-,Universitas Triatma Mulya,"Samarinda, Kalimantan Timur"
232,Nursing and Health Sciences Journal (NHSJ),NHSJ,https://nhs-journal.com/index.php/nhs,2798-5059,2798-5067,Penelitian,Kesehatan,S5,2021 - 2025,blm_scopus,-,-,"Kupang, Nusa Tenggara Timur"
233,JURNAL PENDIDIKAN BAHASA,JPB,https://ejournal.tsb.ac.id/index.php/jpb,2088-0316,2685-0133,Penelitian,Pendidikan,S5,2022 - 2088,blm_scopus,-,STKIP Taman Siswa Bima,"Tasikmalaya, Jawa Barat"
234,Jurnal Darmawisata,JDW,https://jurnalvokasi.ung.ac.id/jdw/index.php/jdw,2798-8201,2809-5944,Penelitian,Pariwisata,S5,2019 - 2025,blm_scopus,-,Program Vokasi Universitas Negeri Gorontalo,"Blitar, Jawa Timur"
235,Darma Cendekia,DC,https://www.jurnal.prismasejahtera.com/index.php/darmacendekia/index,-,2963-167X,Penelitian,Pendidikan,S5,2022 - 2026,blm_scopus,-,-,"Tasikmalaya, Jawa Barat"
236,Jurnal Jarkom,JARKOM,https://ejournal.akprind.ac.id/index.php/jarkom/index,-,2338-6312,Penelitian,Informatika Komputer,S5,2022 - 2027,blm_scopus,-,Universitas Akprind Indonesia,"Solo, Jawa Tengah"
237,Jurnal Farmasindo: Jurnal Penelitian dan Pengabdian Masyarakat,FARMASINDO,https://farmasindo.poltekindonusa.ac.id/index.php/jurnal_farmasindo,2548-6667,2775-9032,Pengabdian,Farmasi,S5,2022 - 2027,blm_scopus,-,Politeknik Indonusa Surakarta,"Kupang, Nusa Tenggara Timur"
238,Arthavidya: Jurnal Ilmiah Ekonomi Universitas Wisnuwardhana Malang,ARTHAVIDYA,http://arthavidya.wisnuwardhana.ac.id/index.php/arthavidya,1410-8755,2579-6070,Penelitian,Ekonomi,S5,2021 - 2026,blm_scopus,-,Arthavidya: Jurnal Ilmiah Ekonomi Universitas Wisnuwardhana Malang,"Medan, Sumatera Utara"
239,Jurnal IPTEK Bagi Masyarakat,JIPTEK,https://journal.aira.or.id/index.php/j-ibm,2807-7261,2807-7253,Penelitian,Teknologi Informasi,S5,2021 - 2026,blm_scopus,-,Ali Institute Of Research And Publication,"Yogyakarta, DI Yogyakarta"
240,Setawar Abdimas,SETAWAR,https://jurnal.umb.ac.id/index.php/Setawar,2809-5626,2809-5618,Penelitian,Sosial & Politik,S5,2022 - 2027,blm_scopus,-,"Program Studi Pendidikan Biologi, Fakultas Keguruan dan Ilmu Pendidikan, Universitas Muhammadiyah Bengkulu","Padang, Sumatera Barat"
241,Surakarta Management Journal,SMJ,http://ejournal.unsa.ac.id/index.php/smj,-,2715-4637,Penelitian,Manajemen,S5,2020 - 2028,blm_scopus,-,Universitas Surakarta,"Sidoarjo, Jawa Timur"
242,Jurnal Sains dan Teknologi Informasi,JSTI,https://ejurnal.seminar-id.com/index.php/jussi,-,2809-610X,Penelitian,Informatika Komputer,S5,2022 - 2027,blm_scopus,-,Kombinasi Metode Addie dan Cbl Dalam Merancang Aplikasi Pembelajaran Kimia pada Sekolah Menengah Atas,"Cirebon, Jawa Barat"
243,JURNAL STUDIA KOMUNIKA,JSK,https://ojs.stisipolp12.ac.id/index.php/jik,2747-2892,2747-2892,Penelitian,Komunikasi,S5,2019 - 2028,blm_scopus,-,Sekolah Tinggi Ilmu Sosial dan Ilmu Politik Pahlawan 12,"Salatiga, Jawa Tengah"
244,Jurnal Akuntansi Muhammadiyah,JAMU,http://ejournal.unmuha.ac.id/index.php/JAM,2087-9776,2715-3134,Penelitian,Akuntansi,S5,2019 - 2087,blm_scopus,-,Universitas Muhammadiyah Aceh,"Yogyakarta, DI Yogyakarta"
245,Journal De Facto,DEFACTO,http://jurnal.pascasarjana.uniba-bpn.ac.id/index.php/jurnaldefacto,2356-1913,2655-8408,Penelitian,Hukum,S5,2020 - 2025,blm_scopus,-,Pascasarjana Magister Ilmu Hukum Universitas Balikpapan,"Bogor, Jawa Barat"
246,Journal of Math Tadris (jMt),JMT,https://jurnal.jurmat.com/index.php/jmt,2776-1533,2776-0316,Penelitian,Matematika,S5,2021 - 2025,blm_scopus,-,Universitas Islam Negeri Mataram,"Pekanbaru, Riau"
247,JiTEKH (Jurnal Ilmiah Teknologi Harapan),JITEKH,https://jurnal.harapan.ac.id/index.php/Jitekh,2338-5677,2549-6646,Penelitian,Teknologi Informasi,S5,2021 - 2025,blm_scopus,-,Universitas Harapan Medan,"Surabaya, Jawa Timur"
248,Embrio Pendidikan: Jurnal Pendidikan Dasar,EMBRIO,https://www.journalfkipuniversitasbosowa.org/index.php/embriopendidikan,2528-357X,2961-8495,Penelitian,Pendidikan,S5,2022 - 2027,blm_scopus,-,Universitas Bosowa,"Probolinggo, Jawa Timur"
249,PEDULI: Jurnal Imiah Pengabdian Pada Masyarakat,PEDULI,http://peduli.wisnuwardhana.ac.id/index.php/peduli,2597-4653,2597-4688,Penelitian,Sosial Budaya,S5,2018 - 2026,blm_scopus,-,Lembaga Penelitian dan Pengabdian Kepada Masyarakat,"Tegal, Jawa Tengah"
250,MURAI: Jurnal Papua Teologi Kontekstual,MURAI,http://ojs.stftkijne.ac.id/index.php/jmp,2721-0200,2746-4814,Pengabdian,Agama,S5,2023 - 2027,blm_scopus,-,Sekolah Tinggi Filsafat Teologi Gki Isaak Samuel Kijne Jayapura,"Jambi, Jambi"
251,Jurnal Ilmu Komputer dan Teknologi (IKOMTI),IKOMTI,https://ejournal.uhb.ac.id/index.php/IKOMTI,2746-4237,2746-4237,Penelitian,Teknologi Informasi,S5,2020 - 2025,blm_scopus,-,Universitas Harapan Bangsa,"Depok, Jawa Barat"
252,AL-ULUM: JURNAL SAINS DAN TEKNOLOGI,AL-ULUM,https://ojs.uniska-bjm.ac.id/index.php/JST,-,2477-4731,Penelitian,Sciene,S5,2018 - 2025,blm_scopus,-,Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,"Jambi, Jambi"
253,Jurnal of Applied Business and Banking (JABB),JABB,https://journal.ummat.ac.id/index.php/JABB,2775-622X,2723-634X,Penelitian,Bisnis,S5,2021 - 2025,blm_scopus,-,Universitas Muhammadiyah Mataram,"Madiun, Jawa Timur"
254,BAKIRA: Jurnal Pengabdian Kepada Masyarakat,BAKIRA,https://ojs3.unpatti.ac.id/index.php/bakira,-,2746-1777,Pengabdian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Pattimura,"Tasikmalaya, Jawa Barat"
255,Jurnal Teknologi Kimia Mineral,JTKM,https://journal.atim.ac.id/index.php/jtkm,2829-923X,2829-923X,Penelitian,Kimia,S5,2022 - 2027,blm_scopus,-,Politeknik Ati Makassar,"Padang, Sumatera Barat"
256,"Jurnal Ilmu Pemerintahan, Administrasi Publik, dan Ilmu Komunikasi (JIPIKOM)",JIPIKOM,http://jurnalmahasiswa.uma.ac.id/index.php/jipikom,-,2722-1148,Penelitian,Pemerintah,S5,2018 - 2027,blm_scopus,-,Universitas Medan Area,"Bandung, Jawa Barat"
257,TAQNIN: Jurnal Syariah dan Hukum,TAQNIN,http://jurnal.uinsu.ac.id/index.php/taqnin,-,2685-399X,Penelitian,Hukum,S5,2019 - 2027,blm_scopus,-,Universitas Islam Negeri Sumatera Utara,"Kudus, Jawa Tengah"
258,AGRISAINS: Jurnal Ilmiah Magister Agribisnis,AGRISAINS,http://jurnalmahasiswa.uma.ac.id/index.php/agrisains/index,-,2722-9785,Penelitian,Pertanian,S5,2020 - 2025,blm_scopus,-,Universitas Medan Area,"Tegal, Jawa Tengah"
259,Jurnal Genta Kebidanan,GENTA,https://ejournal.politeknikkesehatankartinibali.ac.id/index.php/JGK,2301-4296,2541-0695,Penelitian,Kebidanan,S5,2020 - 2024,blm_scopus,-,Politeknik Kesehatan Kartini Bali,"Pontianak, Kalimantan Barat"
260,AUSTENIT,AUSTENIT,https://jurnal.polsri.ac.id/index.php/austenit,2085-1286,2622-7649,Penelitian,Teknik Mesin,S5,2019 - 2085,blm_scopus,-,Politeknik Negeri Sriwijaya,"Padang, Sumatera Barat"
261,Jurnal Panrita,PANRITA,https://journal.umpalopo.ac.id/index.php/panrita,2774-6674,2774-6666,Penelitian,Pendidikan,S5,2021 - 2026,blm_scopus,-,Universitas Muhammadiyah Palopo,"Samarinda, Kalimantan Timur"
262,Jurnal Farmanesia,FARMANESIA,http://e-journal.sari-mutiara.ac.id/index.php/2,-,2528-2484,Penelitian,Farmasi,S5,2022 - 2026,blm_scopus,-,Universitas Sari Mutiara Indonesia Medan,"Pontianak, Kalimantan Barat"
263,Jurnal ICT : Information and Communication Technologies,ICT,https://ejournal.marqchainstitute.or.id/index.php/JICT,2086-7867,2808-9170,Penelitian,Teknologi Informasi,S5,2021 - 2086,blm_scopus,-,Marq & Cha Institute,"Lampung, Lampung"
264,eMBeJi : Manajemen dan Bisnis Jurnal,eMBeJi,http://mbj.wisnuwardhana.ac.id/index.php/mbj,-,2528-6668,Penelitian,Manajemen,S5,2018 - 2025,blm_scopus,-,Universitas Wisnuwardhana Malang,"Magelang, Jawa Tengah"
265,JURMA : Jurnal Program Mahasiswa Kreatif,JURMA,http://pkm.uika-bogor.ac.id/index.php/pkm-p,2614-8188,2615-8019,Pengabdian,Pendidikan,S5,2018 - 2027,blm_scopus,-,Role Media Social And Good Corporate Governance (gcg) To Management Zakat At The Institution Baitul Mall Aceh (bma),"Palu, Sulawesi Tengah"
266,Jurnal Pranata Hukum,JPH,http://jurnalpranata.ubl.ac.id/index.php/pranatahukum,1907-560X,2685-3213,Penelitian,Hukum,S5,2019 - 2026,blm_scopus,-,Universitas Bandar Lampung,"Tangerang, Banten"
267,JMLS: Journal of Medical Laboratory and Science,JMLS,https://jurnal.poltekkespalembang.ac.id/index.php/jmls,-,2829-1158,Penelitian,Kesehatan,S5,2021 - 2086,blm_scopus,-,Poltekkes Kemenkes Palembang,"Pekalongan, Jawa Tengah"
268,Al Burhan: Jurnal Kajian Ilmu dan Pengembangan Budaya Al-Quran,AL BURHAN,https://journal.ptiq.ac.id/index.php/alburhan,0853-8603,2685-0087,Penelitian,Islam,S5,2020 - 2025,blm_scopus,-,Universitas Ptiq Jakarta,"Samarinda, Kalimantan Timur"
269,Jurnal Strategi Desain dan Inovasi Sosial,JSDIS,https://ojs.uph.edu/index.php/JSDIS,2715-2898,2715-5129,Penelitian,Seni,S5,2019 - 2025,blm_scopus,-,Universitas Pelita Harapan,"Lampung, Lampung"
270,Mitra Akademia: Jurnal Pengabdian Masyarakat,MITRA,http://jurnal.pnj.ac.id/index.php/mak,2657-2109,2684-8422,Pengabdian,Sosial & Politik,S5,2020 - 2025,blm_scopus,-,Mitra Akademia: Jurnal Pengabdian Masyarakat,"Palu, Sulawesi Tengah"
271,LEXEME: Journal of Linguistics and Applied Linguistics,LEXEME,http://openjournal.unpam.ac.id/index.php/LJLAL,2685-7995,2656-7067,Penelitian,Bahasa,S5,2019 - 2026,blm_scopus,-,Universitas Pamulang,"Palembang, Sumatera Selatan"
272,Jurnal Penalaran dan Riset Matematika,JPRM,https://journal.almeeraeducation.id/prisma,2961-8134,2962-4150,Penelitian,Matematika,S5,2022 - 2026,blm_scopus,-,-,"Semarang, Jawa Tengah"
273,Dharma Pendidikan,DP,https://journal.stkipnganjuk.ac.id/index.php/jdp,1907-2813,2829-0267,Penelitian,Pendidikan,S5,2022 - 2027,blm_scopus,-,STKIP Pgri Nganjuk,"Pekanbaru, Riau"
274,DIKBASTRA,DIKBASTRA,https://online-journal.unja.ac.id/dikbastra,-,2621-1424,Penelitian,Sastra Indonesia,S5,2022 - 2027,blm_scopus,-,Universitas Jambi,"Surabaya, Jawa Timur"
275,Jurnal Kreatif Online,JKO,https://jurnal.fkip.untad.ac.id/index.php/jko,-,2354-614X,Penelitian,Pendidikan,S5,2017 - 2023,blm_scopus,-,Universitas Tadulako,"Madiun, Jawa Timur"
276,Jurnal Mutiara Elektromedik,JME,http://e-journal.sari-mutiara.ac.id/index.php/Elektromedik,-,2614-7963,Penelitian,Kesehatan,S5,2014 - 2028,blm_scopus,-,Program Studi D-iii Teknik Elektromedik,"Probolinggo, Jawa Timur"
277,Jurnal Pengabdian Kepada Masyarakat Ungu ( Abdi Ke Ungu),JPKMU,https://journal.aisyahuniversity.ac.id/index.php/Abdi,2716-0912,2715-9558,Pengabdian,Sosial & Politik,S5,2022 - 2026,blm_scopus,-,Universitas Aisyah Pringsewu,"Pekalongan, Jawa Tengah"
278,Jurnal Nasional Holistic Science,JNHS,https://jurnal.larisma.or.id/index.php/HS,-,2798-7027,Penelitian,Kesehatan,S5,2021 - 2069,blm_scopus,-,Lembaga Riset Mutiara Akbar,"Manado, Sulawesi Utara"
279,Sasindo : Jurnal Pendidikan Bahasa dan Sastra Indonesia,SASINDO,http://journal.upgris.ac.id/index.php/sasindo,2337-4098,2614-6959,Penelitian,Sastra Indonesia,S5,2018 - 2026,blm_scopus,-,Universitas Pgri Semarang Sasindo : Jurnal Pendidikan Bahasa dan Sastra Indonesia,"Cirebon, Jawa Barat"
280,Jurnal Teknik Industri,JTI,https://journal.universitassuryadarma.ac.id/index.php/jtin,2302-2205,2808-7321,Penelitian,Industri,S5,2022 - 2026,blm_scopus,-,Universitas Dirgantara Marsekal Suryadarma,"Sidoarjo, Jawa Timur"
281,Jurnal Kimia Saintek dan Pendidikan,JKSP,http://e-journal.sari-mutiara.ac.id/index.php/KIMIA,-,2615-3378,Penelitian,Kimia,S5,2020 - 2028,blm_scopus,-,"Prodi Kimia Fakultas Sains, Teknologi, dan Informasi Universitas Sari Mutiara Indonesia","Tasikmalaya, Jawa Barat"
282,Jurnal Profesi Insinyur Universitas Lampung,JPIUL,http://jpi.eng.unila.ac.id/index.php/ojs,-,2722-5771,Penelitian,Teknik,S5,2020 - 2026,blm_scopus,-,Jurnal Profesi Insinyur Universitas Lampung,"Medan, Sumatera Utara"
283,Priviet Social Sciences Journal,PSSJ,https://journal.privietlab.org/index.php/PSSJ,2798-866X,2798-6314,Penelitian,Sosial & Politik,S5,2023 - 2028,blm_scopus,-,-,"Padang, Sumatera Barat"
284,Jurnal Ilmu Kebidanan,JIK,https://jurnalilmukebidanan.akbiduk.ac.id/index.php/jik,2407-6872,2579-4027,Penelitian,Kebidanan,S5,2021 - 2026,blm_scopus,-,Politeknik Kesehatan Ummi Khasanah,"Sidoarjo, Jawa Timur"
285,J-PEN Borneo : Jurnal Ilmu Pertanian,J-PEN,http://jurnal.borneo.ac.id/index.php/j-pen/index,2549-8150,2599-2872,Penelitian,Pertanian,S5,2020 - 2024,blm_scopus,-,Universitas Borneo Tarakan,"Kupang, Nusa Tenggara Timur"
286,Ar-Raihanah: Jurnal Pendidikan Islam Anak Usia Dini,AR-RAIHANAH,http://ejournal.stit-alkifayahriau.ac.id/index.php/arraihanah,2614-7831,2830-5868,Penelitian,Islam,S5,2022 - 2026,blm_scopus,-,Sekolah Tinggi Agama Islam Al-kifayah Riau,"Samarinda, Kalimantan Timur"
287,Sora Journal of Mathematics Education,SORA,https://ojs3.unpatti.ac.id/index.php/sora,2746-1599,2746-1602,Penelitian,Pendidikan,S5,2021 - 2025,blm_scopus,-,Universitas Pattimura,"Bekasi, Jawa Barat"
288,"Journal of Health, Education, Economics, Science, and Technology (J-HEST)",J-HEST,https://j-hest.web.id/index.php/2,-,2685-1792,Penelitian,Kesehatan,S5,2021 - 2026,blm_scopus,-,-,"Padang, Sumatera Barat"
289,Jurnal Kedokteran Ibnu Nafis,JKIN,https://jurnal.fk.uisu.ac.id/index.php/ibnunafis,2252-6870,2613-9359,Penelitian,Kedokteran,S5,2021 - 2025,blm_scopus,-,Universitas Islam Sumatera Utara,"Lampung, Lampung"
290,JEdu: Journal of English Education,JEDU,http://jim.unindra.ac.id/index.php/jedu,2798-5164,2798-6543,Penelitian,Sastra Inggris,S5,2009 - 2026,blm_scopus,-,Universitas Indraprasta Pgri,"Purwokerto, Jawa Tengah"
291,JURNAL AGROHITA,AGROHITA,http://jurnal.um-tapsel.ac.id/index.php/agrohita,2541-5956,2615-336X,Penelitian,Pertanian,S5,2018 - 2058,blm_scopus,-,Universitas Muhammadiyah Tapanuli Selatan,"Purwokerto, Jawa Tengah"
292,Jurnal Pembangunan Perikanan dan Agribisnis,JPPA,https://jppa-unmul.com/index.php/ojs,-,2829-9159,Penelitian,Perikanan,S5,2021 - 2026,blm_scopus,-,Universitas Mulawarman,"Samarinda, Kalimantan Timur"
293,Bahana Pendidikan: Jurnal Pendidikan Sains,BPS,https://e-journal.upr.ac.id/index.php/bpjps,2716-3431,2807-2154,Penelitian,Pendidikan,S5,2022 - 2027,blm_scopus,-,Universitas Palangka Raya,"Medan, Sumatera Utara"
294,Jurnal Ilmiah Farmasi Akademi Farmasi Jember,JIFAFJ,http://ejurnal.akademifarmasijember.ac.id/index.php/jurnal_ilmiah_farmasi,2503-4707,2615-756X,Penelitian,Farmasi,S5,2021 - 2025,blm_scopus,-,Jurnal Ilmiah Farmasi Akademi Farmasi Jember,"Padang, Sumatera Barat"
295,Kenanga : Journal of Biological sciences and Applied Biology,KENANGA,https://journal.ar-raniry.ac.id/index.php/kenanga,2797-3166,2776-9216,Penelitian,Biologi,S5,2021 - 2025,blm_scopus,-,Universitas Islam Negeri Ar-raniry Banda Aceh,"Denpasar, Bali"
296,LINGUISTIK : Jurnal Bahasa dan Sastra,LINGUISTIK,http://jurnal.um-tapsel.ac.id/index.php/Linguistik/issue/archive,2541-3775,2548-9402,Penelitian,Bahasa,S5,2018 - 2026,blm_scopus,-,Fkip Universitas Muhammadiyah Tapanuli Selatan,"Tangerang, Banten"
297,Jurnal Bhakti Karya dan Inovatif,JBKI,https://jurnalunibi.unibi.ac.id/ojs/index.php/BhaktiKaryadanInovatif,3025-2985,2775-5002,Pengabdian,Sosial & Politik,S5,2023 - 2027,blm_scopus,-,Universitas Informatika dan Bisnis Indonesia,"Lampung, Lampung"
298,Lantern: Journal of Language and Literature,LANTERN,https://e-journal.uniflor.ac.id/index.php/lantern,2502-5473,2808-0106,Penelitian,Bahasa,S5,2020 - 2027,blm_scopus,-,Universitas Flores,"Tangerang, Banten"
299,ejurnal imedtech,IMEDTECH,http://ejournal.citrabakti.ac.id/index.php/imedtech,-,2580-6033,Penelitian,Teknologi Informasi,S5,2014 - 2024,blm_scopus,-,STKIP Citra Bakti,"Pekalongan, Jawa Tengah"
300,Kalbisocio: Jurnal Bisnis dan Komunikasi,KALBISOCIO,http://ojs.kalbis.ac.id/index.php/kalbisocio,2356-4385,2829-1301,Penelitian,Bisnis,S5,2020 - 2026,blm_scopus,-,Universitas Kalbis,"Bekasi, Jawa Barat"
301,Journal orientasi bisnis dan entrepeneurship,JOBE,http://academicjournal.yarsi.ac.id/index.php/jobs,2722-7901,2722-7995,Penelitian,Bisnis,S5,2020 - 2025,blm_scopus,-,Universitas Yarsi,"Magelang, Jawa Tengah"
302,Jurnal Citrakara,CITRAKARA,http://publikasi.dinus.ac.id/index.php/citrakara,-,2807-7296,Penelitian,Seni,S5,2022 - 2027,blm_scopus,-,Universitas Dian Nuswantoro,"Pontianak, Kalimantan Barat"
303,Measurement In Educational Research,MIER,https://ejournal.ressi.id/index.php/meter,-,2776-7515,Penelitian,Pendidikan,S5,2021 - 2025,blm_scopus,-,Research And Social Study Institute,"Palu, Sulawesi Tengah"
304,Transmisi,TRANSMISI,https://jurnal.unmer.ac.id/index.php/jtmt/index,0216-3233,2580-2283,Penelitian,Elektro,S5,2020 - 2029,blm_scopus,-,Universitas Merdeka Malang,"Denpasar, Bali"
305,HIRARKI : Jurnal Ilmiah Manajemen Dan Bisnis,HIRARKI,http://journal.upp.ac.id/index.php/Hirarki,2684-9666,2684-8503,Penelitian,Manajemen,S5,2021 - 2025,blm_scopus,-,Universitas Pasir Pengaraian,"Depok, Jawa Barat"
306,Jurnal Agrotek Indonesia (Indonesian Journal of Agrotech),JAI,https://journal.unsika.ac.id/index.php/agrotek,-,2580-2747,Penelitian,Agroteknologi,S5,2017 - 2024,blm_scopus,-,Program Studi Agroteknologi Fakultas Pertanian Universitas Singaperbangsa Karawang,"Tangerang, Banten"
307,Ihyaussunnah : Journal of Ulumul Hadith and Living Sunnah,IHY,https://journal.uin-alauddin.ac.id/index.php/ihyaussunnah,2809-1787,2830-5108,Penelitian,Islam,S5,2021 - 2025,blm_scopus,-,Universitas Islam Negeri Alauddin Makassar,"Depok, Jawa Barat"
308,AutoMech : Jurnal Teknik Mesin,AUTOMECH,https://journal.umpo.ac.id/index.php/JTM,-,2809-9397,Penelitian,Teknik Mesin,S5,2022 - 2026,blm_scopus,-,Universitas Muhammadiyah Ponorogo,"Banjarmasin, Kalimantan Selatan"
309,Jurnal Bisnis Event,JBE,https://jurnal.pnj.ac.id/index.php/bis,-,2963-1971,Penelitian,Bisnis,S5,2021 - 2026,blm_scopus,-,Politeknik Negeri Jakarta,"Pekanbaru, Riau"
310,Jurnal Pengabdian Masyarakat (ABDIRA),ABDIRA,http://abdira.org/index.php/abdira,2798-0847,2798-4591,Pengabdian,Sosial & Politik,S5,2022 - 2027,blm_scopus,-,Universitas Pahlawan Tuanku Tambusai,"Makassar, Sulawesi Selatan"
